A	6	3
B	10	8
A	11	1
A	17	5
B	20	10
A	21	4
C	25	9
A	26	5
B	29	9
A	32	1
A	37	3
B	39	7
A	42	2
A	47	3
B	48	8
A	51	2
C	51	12
A	55	5
B	58	8
A	61	4
A	66	3
B	67	7
A	70	2
A	76	1
C	77	9
B	78	9
A	82	2
A	88	4
B	88	6
A	92	3
A	98	5
B	98	10
A	103	5
C	103	13
B	107	8
A	109	2
A	115	4
B	116	7
A	119	5
A	123	2
B	127	7
A	129	4
C	129	11
A	135	5
B	138	6
A	140	3
A	144	5
B	147	9
A	150	2
C	154	11
A	155	4
B	158	10
A	160	1
A	166	3
B	169	9
A	170	2
A	175	3
B	178	7
A	180	4
C	180	13
A	186	1
B	187	8
A	192	5
A	197	1
B	197	7
A	201	2
A	205	4
C	205	11
B	207	10
A	209	4
A	213	5
A	217	1
B	217	10
A	222	2
A	228	4
B	228	8
C	230	13
A	232	5
B	237	9
A	238	4
A	244	4
B	247	10
A	250	3
A	254	2
C	256	10
B	257	8
A	258	1
A	263	4
A	267	1
B	268	7
A	271	2
A	277	2
B	277	7
C	280	13
A	283	1
B	286	10
A	289	3
A	293	5
B	295	10
A	299	4
A	303	3
B	304	10
C	306	13
A	308	1
A	314	2
B	315	6
A	320	3
A	324	5
B	326	7
A	330	3
C	331	13
A	336	1
B	336	9
A	340	5
A	345	1
B	345	6
A	349	2
A	354	3
B	355	6
C	357	11
A	359	3
A	363	4
B	366	6
A	369	5
A	374	4
B	377	8
A	380	4
C	381	9
A	386	2
B	386	8
A	392	1
A	396	4
B	397	9
A	400	2
A	404	1
C	405	12
B	408	6
A	409	5
A	413	3
B	418	6
A	419	4
A	424	2
B	428	6
A	430	1
C	430	9
A	435	2
B	437	6
A	441	1
A	445	2
B	446	6
A	449	5
A	453	5
B	455	9
C	455	12
A	458	5
A	464	5
B	464	9
A	468	4
A	472	4
B	473	8
A	477	3
C	480	12
B	482	9
A	483	4
A	487	4
B	492	10
A	493	2
A	497	3
A	502	5
B	503	6
C	506	13
A	508	2
A	514	2
B	514	8
A	520	5
A	525	2
B	525	10
A	530	4
C	530	9
B	534	10
A	536	4
A	540	5
A	545	3
B	545	7
A	549	1
A	553	4
B	554	9
C	554	12
A	558	3
A	563	4
B	564	7
A	569	1
A	573	4
B	575	7
A	577	2
C	580	13
A	583	2
B	584	9
A	589	4
A	594	3
B	594	6
A	598	3
A	603	3
C	604	13
B	605	8
A	609	5
A	614	3
B	614	10
A	620	2
A	624	4
B	625	7
A	629	2
C	629	9
A	635	5
B	635	6
A	641	1
A	645	2
B	646	7
A	650	2
B	655	6
C	655	9
A	656	4
A	661	3
A	665	2
B	666	6
A	671	4
A	677	2
B	677	10
C	679	13
A	682	5
B	687	9
A	688	2
A	693	5
B	696	7
A	699	3
C	703	11
A	705	1
B	706	7
A	709	5
A	715	4
B	715	10
A	719	5
A	723	4
B	726	7
C	727	9
A	728	1
A	734	1
B	735	6
A	739	2
A	743	3
B	744	8
A	748	3
C	752	9
A	754	5
B	755	8
A	760	5
A	766	5
B	766	6
A	771	3
B	775	8
C	776	13
A	777	1
A	783	5
B	785	6
A	788	3
A	793	1
B	796	10
A	798	4
C	800	12
A	804	4
B	807	6
A	809	2
A	814	5
B	816	10
A	819	3
A	823	5
B	825	9
C	825	13
A	828	1
A	832	2
B	836	10
A	838	1
A	844	3
B	846	6
A	850	5
C	850	10
A	854	2
B	855	6
A	860	2
B	864	10
A	866	4
A	872	1
C	874	13
B	875	6
A	876	4
A	880	4
B	885	8
A	886	1
A	892	2
B	896	10
A	897	4
C	898	9
A	901	3
A	906	5
B	907	7
A	910	3
A	915	2
B	916	8
A	919	1
C	922	10
A	924	2
B	926	8
A	930	5
A	934	5
B	936	9
A	938	5
A	942	1
B	945	6
C	946	11
A	948	5
A	953	4
B	956	6
A	958	3
A	964	4
B	966	9
A	969	1
C	971	13
A	973	2
B	977	8
A	979	1
A	985	5
B	986	6
A	991	5
A	995	5
B	997	10
C	997	11
A	999	5
A	1004	1
B	1006	8
A	1010	3
A	1014	3
B	1016	9
A	1019	1
C	1022	10
A	1025	4
B	1026	7
A	1031	1
A	1035	1
B	1036	8
A	1041	3
B	1046	10
C	1046	12
A	1047	5
A	1053	1
B	1056	9
A	1058	5
A	1063	3
B	1066	10
A	1069	2
C	1071	12
A	1074	3
B	1075	9
A	1078	4
A	1082	2
B	1085	8
A	1088	3
A	1094	2
B	1095	7
C	1097	10
A	1100	1
B	1105	6
A	1106	1
A	1110	5
B	1115	7
A	1116	1
A	1121	4
C	1123	9
B	1125	8
A	1126	1
A	1132	3
B	1135	6
A	1137	1
A	1143	5
B	1146	7
C	1147	10
A	1148	5
A	1154	1
B	1157	8
A	1160	5
A	1166	3
B	1166	7
A	1171	2
C	1171	13
A	1176	4
B	1176	6
A	1181	5
A	1186	5
B	1186	9
A	1192	3
B	1195	7
C	1195	11
A	1197	3
A	1202	2
B	1204	6
A	1207	3
A	1212	1
B	1215	8
A	1216	3
A	1221	4
C	1221	12
A	1225	5
B	1225	8
A	1230	2
A	1234	3
B	1234	8
A	1238	5
A	1242	3
B	1243	9
A	1247	4
C	1247	11
A	1252	1
B	1254	10
A	1258	3
A	1262	2
B	1264	10
A	1268	2
C	1272	13
A	1273	1
B	1275	7
A	1278	1
A	1283	2
B	1284	7
A	1289	2
B	1293	9
A	1294	2
C	1296	13
A	1298	3
A	1302	1
B	1304	10
A	1306	5
A	1312	4
B	1314	8
A	1318	2
C	1322	13
B	1323	8
A	1324	5
A	1328	4
B	1332	8
A	1333	4
A	1338	3
B	1343	10
A	1344	1
C	1347	10
A	1348	5
B	1352	6
A	1354	1
A	1359	5
A	1363	4
B	1363	9
A	1369	3
B	1373	6
C	1373	9
A	1374	1
A	1378	4
A	1382	5
B	1384	6
A	1387	1
A	1392	5
B	1395	9
A	1397	2
C	1398	9
A	1401	1
A	1406	1
B	1406	7
A	1410	2
A	1414	3
B	1416	6
A	1418	3
A	1422	2
C	1422	12
A	1427	2
B	1427	6
A	1433	3
A	1438	3
B	1438	9
A	1442	2
B	1447	10
C	1447	13
A	1448	2
A	1452	5
A	1457	1
B	1458	6
A	1462	3
A	1466	1
B	1468	6
C	1471	11
A	1472	3
B	1477	6
A	1478	5
A	1482	3
B	1486	8
A	1487	5
A	1493	4
B	1495	6
A	1497	4
C	1497	10
A	1503	1
B	1506	8
A	1509	4
A	1514	4
B	1515	8
A	1518	3
A	1522	2
C	1523	13
B	1526	9
A	1527	1
A	1531	1
A	1537	1
B	1537	6
A	1541	5
A	1546	4
B	1548	9
C	1549	13
A	1550	4
A	1555	2
B	1559	10
A	1560	5
A	1566	5
B	1569	9
A	1570	4
C	1573	13
A	1574	1
A	1580	4
B	1580	10
A	1586	1
A	1591	2
B	1591	9
A	1596	1
C	1599	9
A	1602	3
B	1602	9
A	1608	3
A	1612	4
B	1612	10
A	1616	4
A	1620	4
B	1622	9
C	1623	13
A	1626	4
A	1632	3
B	1633	8
A	1638	1
A	1642	3
B	1644	7
C	1647	11
A	1648	1
A	1654	2
B	1654	10
A	1658	4
A	1664	1
B	1665	9
A	1668	5
C	1672	12
A	1673	1
B	1675	9
A	1677	5
A	1681	1
A	1685	4
B	1685	9
A	1691	5
B	1694	6
C	1696	13
A	1697	1
A	1702	2
B	1705	6
A	1706	5
A	1710	4
A	1714	3
B	1715	7
A	1720	2
C	1721	10
A	1725	3
B	1726	6
A	1731	2
A	1737	1
B	1737	9
A	1741	5
A	1745	3
C	1746	12
B	1748	9
A	1750	4
A	1756	3
B	1757	8
A	1760	2
A	1765	5
B	1767	9
A	1769	4
C	1770	11
A	1774	5
B	1777	10
A	1779	2
A	1783	1
B	1788	10
A	1789	3
A	1793	4
C	1794	12
A	1799	4
B	1799	9
A	1803	4
A	1808	2
B	1810	8
A	1812	1
A	1818	3
C	1818	10
B	1820	8
A	1824	4
A	1829	5
B	1830	8
A	1833	3
A	1837	1
B	1840	6
A	1842	5
C	1843	13
A	1846	3
B	1850	10
A	1852	3
A	1856	4
B	1860	10
A	1861	5
A	1867	1
C	1868	13
B	1871	10
A	1873	3
A	1879	4
B	1880	6
A	1885	3
B	1889	8
A	1891	1
C	1892	12
A	1897	5
B	1898	8
A	1901	1
A	1906	4
B	1909	7
A	1911	1
A	1916	4
C	1917	13
B	1919	7
A	1920	3
A	1926	3
B	1930	8
A	1931	4
A	1935	4
B	1940	7
A	1941	3
C	1943	10
A	1947	5
B	1949	9
A	1953	1
A	1958	4
B	1958	6
A	1962	4
A	1966	3
B	1969	6
C	1969	10
A	1972	4
A	1976	2
B	1979	6
A	1981	3
A	1987	1
B	1988	7
A	1993	4
C	1993	10
B	1998	10
A	1999	4
A	2004	1
B	2007	6
A	2010	4
A	2015	1
B	2016	8
C	2017	11
A	2020	3
A	2024	4
B	2025	7
A	2030	2
B	2034	6
A	2036	4
A	2041	5
C	2041	9
B	2044	7
A	2046	4
A	2050	5
B	2054	7
A	2055	2
A	2059	1
A	2065	2
B	2065	9
C	2067	10
A	2070	1
A	2074	2
B	2074	9
A	2079	2
B	2084	6
A	2085	1
A	2089	3
C	2093	12
A	2095	4
B	2095	10
A	2101	2
B	2104	10
A	2105	3
A	2111	2
B	2114	8
A	2116	5
C	2117	9
A	2121	1
B	2124	7
A	2126	3
A	2131	4
B	2135	6
A	2137	2
A	2141	2
C	2141	11
A	2146	5
B	2146	7
A	2150	3
B	2155	8
A	2156	4
A	2161	1
A	2165	2
B	2166	8
C	2167	13
A	2171	2
A	2175	2
B	2177	6
A	2179	2
A	2184	1
B	2188	9
A	2189	5
C	2192	13
A	2193	4
A	2199	3
B	2199	10
A	2204	3
A	2208	5
B	2209	6
A	2213	5
C	2216	13
A	2219	2
B	2219	6
A	2224	5
B	2229	8
A	2230	4
A	2235	4
A	2240	1
B	2240	6
C	2241	9
A	2244	4
A	2250	1
B	2251	6
A	2256	5
B	2261	10
A	2262	2
A	2266	5
C	2266	10
A	2271	2
B	2272	9
A	2276	4
A	2281	4
B	2282	6
A	2287	1
B	2291	7
C	2292	9
A	2293	4
A	2297	5
B	2300	9
A	2303	5
A	2307	5
B	2311	8
A	2312	4
A	2316	2
C	2317	10
B	2321	7
